#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
Cliv_1.0	scaffold4	NW_004973171.1	KB375286.1	GPS_001989080.1
Cliv_1.0	scaffold12	NW_004973172.1	KB375287.1	GPS_001989081.1
Cliv_1.0	scaffold2	NW_004973173.1	KB375288.1	GPS_001989082.1
Cliv_1.0	scaffold11	NW_004973174.1	KB375289.1	GPS_001989083.1
Cliv_1.0	scaffold18	NW_004973175.1	KB375290.1	GPS_001989084.1
Cliv_1.0	scaffold19	NW_004973176.1	KB375291.1	GPS_001989085.1
Cliv_1.0	scaffold3	NW_004973177.1	KB375292.1	GPS_001989086.1
Cliv_1.0	scaffold14	NW_004973178.1	KB375293.1	GPS_001989087.1
Cliv_1.0	scaffold21	NW_004973179.1	KB375294.1	GPS_001989088.1
Cliv_1.0	scaffold24	NW_004973180.1	KB375295.1	GPS_001989089.1
Cliv_1.0	scaffold13	NW_004973181.1	KB375296.1	GPS_001989090.1
Cliv_1.0	scaffold20	NW_004973182.1	KB375297.1	GPS_001989091.1
Cliv_1.0	scaffold23	NW_004973183.1	KB375298.1	GPS_001989092.1
Cliv_1.0	scaffold26	NW_004973184.1	KB375299.1	GPS_001989093.1
Cliv_1.0	scaffold25	NW_004973185.1	KB375300.1	GPS_001989094.1
Cliv_1.0	scaffold29	NW_004973186.1	KB375301.1	GPS_001989095.1
Cliv_1.0	scaffold5	NW_004973187.1	KB375302.1	GPS_001989096.1
Cliv_1.0	scaffold28	NW_004973188.1	KB375303.1	GPS_001989097.1
Cliv_1.0	scaffold30	NW_004973189.1	KB375304.1	GPS_001989098.1
Cliv_1.0	scaffold32	NW_004973190.1	KB375305.1	GPS_001989099.1
Cliv_1.0	scaffold35	NW_004973191.1	KB375306.1	GPS_001989100.1
Cliv_1.0	scaffold7	NW_004973192.1	KB375307.1	GPS_001989101.1
Cliv_1.0	scaffold33	NW_004973193.1	KB375308.1	GPS_001989102.1
Cliv_1.0	scaffold27	NW_004973194.1	KB375309.1	GPS_001989103.1
Cliv_1.0	scaffold39	NW_004973195.1	KB375310.1	GPS_001989104.1
Cliv_1.0	scaffold37	NW_004973196.1	KB375311.1	GPS_001989105.1
Cliv_1.0	scaffold9	NW_004973197.1	KB375312.1	GPS_001989106.1
Cliv_1.0	scaffold16	NW_004973198.1	KB375313.1	GPS_001989107.1
Cliv_1.0	scaffold1	NW_004973199.1	KB375314.1	GPS_001989108.1
Cliv_1.0	scaffold36	NW_004973200.1	KB375315.1	GPS_001989109.1
Cliv_1.0	scaffold15	NW_004973201.1	KB375316.1	GPS_001989110.1
Cliv_1.0	scaffold43	NW_004973202.1	KB375317.1	GPS_001989111.1
Cliv_1.0	scaffold6	NW_004973203.1	KB375318.1	GPS_001989112.1
Cliv_1.0	scaffold45	NW_004973204.1	KB375319.1	GPS_001989113.1
Cliv_1.0	scaffold48	NW_004973205.1	KB375320.1	GPS_001989114.1
Cliv_1.0	scaffold49	NW_004973206.1	KB375321.1	GPS_001989115.1
Cliv_1.0	scaffold50	NW_004973207.1	KB375322.1	GPS_001989116.1
Cliv_1.0	scaffold41	NW_004973208.1	KB375323.1	GPS_001989117.1
Cliv_1.0	scaffold46	NW_004973209.1	KB375324.1	GPS_001989118.1
Cliv_1.0	scaffold52	NW_004973210.1	KB375325.1	GPS_001989119.1
Cliv_1.0	scaffold47	NW_004973211.1	KB375326.1	GPS_001989120.1
Cliv_1.0	scaffold44	NW_004973212.1	KB375327.1	GPS_001989121.1
Cliv_1.0	scaffold55	NW_004973213.1	KB375328.1	GPS_001989122.1
Cliv_1.0	scaffold57	NW_004973214.1	KB375329.1	GPS_001989123.1
Cliv_1.0	scaffold42	NW_004973215.1	KB375330.1	GPS_001989124.1
Cliv_1.0	scaffold54	NW_004973216.1	KB375331.1	GPS_001989125.1
Cliv_1.0	scaffold61	NW_004973217.1	KB375332.1	GPS_001989126.1
Cliv_1.0	scaffold40	NW_004973218.1	KB375333.1	GPS_001989127.1
Cliv_1.0	scaffold62	NW_004973219.1	KB375334.1	GPS_001989128.1
Cliv_1.0	scaffold65	NW_004973220.1	KB375335.1	GPS_001989129.1
Cliv_1.0	scaffold63	NW_004973221.1	KB375336.1	GPS_001989130.1
Cliv_1.0	scaffold66	NW_004973222.1	KB375337.1	GPS_001989131.1
Cliv_1.0	scaffold64	NW_004973223.1	KB375338.1	GPS_001989132.1
Cliv_1.0	scaffold69	NW_004973224.1	KB375339.1	GPS_001989133.1
Cliv_1.0	scaffold70	NW_004973225.1	KB375340.1	GPS_001989134.1
Cliv_1.0	scaffold58	NW_004973226.1	KB375341.1	GPS_001989135.1
Cliv_1.0	scaffold56	NW_004973227.1	KB375342.1	GPS_001989136.1
Cliv_1.0	scaffold60	NW_004973228.1	KB375343.1	GPS_001989137.1
Cliv_1.0	scaffold71	NW_004973229.1	KB375344.1	GPS_001989138.1
Cliv_1.0	scaffold75	NW_004973230.1	KB375345.1	GPS_001989139.1
Cliv_1.0	scaffold53	NW_004973231.1	KB375346.1	GPS_001989140.1
Cliv_1.0	scaffold51	NW_004973232.1	KB375347.1	GPS_001989141.1
Cliv_1.0	scaffold78	NW_004973233.1	KB375348.1	GPS_001989142.1
Cliv_1.0	scaffold72	NW_004973234.1	KB375349.1	GPS_001989143.1
Cliv_1.0	scaffold10	NW_004973235.1	KB375350.1	GPS_001989144.1
Cliv_1.0	scaffold73	NW_004973236.1	KB375351.1	GPS_001989145.1
Cliv_1.0	scaffold77	NW_004973237.1	KB375352.1	GPS_001989146.1
Cliv_1.0	scaffold74	NW_004973238.1	KB375353.1	GPS_001989147.1
Cliv_1.0	scaffold84	NW_004973239.1	KB375354.1	GPS_001989148.1
Cliv_1.0	scaffold85	NW_004973240.1	KB375355.1	GPS_001989149.1
Cliv_1.0	scaffold83	NW_004973241.1	KB375356.1	GPS_001989150.1
Cliv_1.0	scaffold86	NW_004973242.1	KB375357.1	GPS_001989151.1
Cliv_1.0	scaffold81	NW_004973243.1	KB375358.1	GPS_001989152.1
Cliv_1.0	scaffold22	NW_004973244.1	KB375359.1	GPS_001989153.1
Cliv_1.0	scaffold67	NW_004973245.1	KB375360.1	GPS_001989154.1
Cliv_1.0	scaffold91	NW_004973246.1	KB375361.1	GPS_001989155.1
Cliv_1.0	scaffold89	NW_004973247.1	KB375362.1	GPS_001989156.1
Cliv_1.0	scaffold90	NW_004973248.1	KB375363.1	GPS_001989157.1
Cliv_1.0	scaffold76	NW_004973249.1	KB375364.1	GPS_001989158.1
Cliv_1.0	scaffold92	NW_004973250.1	KB375365.1	GPS_001989159.1
Cliv_1.0	scaffold82	NW_004973251.1	KB375366.1	GPS_001989160.1
Cliv_1.0	scaffold87	NW_004973252.1	KB375367.1	GPS_001989161.1
Cliv_1.0	scaffold38	NW_004973253.1	KB375368.1	GPS_001989162.1
Cliv_1.0	scaffold59	NW_004973254.1	KB375369.1	GPS_001989163.1
Cliv_1.0	scaffold80	NW_004973255.1	KB375370.1	GPS_001989164.1
Cliv_1.0	scaffold68	NW_004973256.1	KB375371.1	GPS_001989165.1
Cliv_1.0	scaffold17	NW_004973257.1	KB375372.1	GPS_001989166.1
Cliv_1.0	scaffold99	NW_004973258.1	KB375373.1	GPS_001989167.1
Cliv_1.0	scaffold98	NW_004973259.1	KB375374.1	GPS_001989168.1
Cliv_1.0	scaffold103	NW_004973260.1	KB375375.1	GPS_001989169.1
Cliv_1.0	scaffold94	NW_004973261.1	KB375376.1	GPS_001989170.1
Cliv_1.0	scaffold34	NW_004973262.1	KB375377.1	GPS_001989171.1
Cliv_1.0	scaffold104	NW_004973263.1	KB375378.1	GPS_001989172.1
Cliv_1.0	scaffold107	NW_004973264.1	KB375379.1	GPS_001989173.1
Cliv_1.0	scaffold31	NW_004973265.1	KB375380.1	GPS_001989174.1
Cliv_1.0	scaffold100	NW_004973266.1	KB375381.1	GPS_001989175.1
Cliv_1.0	scaffold106	NW_004973267.1	KB375382.1	GPS_001989176.1
Cliv_1.0	scaffold108	NW_004973268.1	KB375383.1	GPS_001989177.1
Cliv_1.0	scaffold93	NW_004973269.1	KB375384.1	GPS_001989178.1
Cliv_1.0	scaffold88	NW_004973270.1	KB375385.1	GPS_001989179.1
Cliv_1.0	scaffold116	NW_004973271.1	KB375386.1	GPS_001989180.1
Cliv_1.0	scaffold117	NW_004973272.1	KB375387.1	GPS_001989181.1
Cliv_1.0	scaffold118	NW_004973273.1	KB375388.1	GPS_001989182.1
Cliv_1.0	scaffold105	NW_004973274.1	KB375389.1	GPS_001989183.1
Cliv_1.0	scaffold119	NW_004973275.1	KB375390.1	GPS_001989184.1
Cliv_1.0	scaffold110	NW_004973276.1	KB375391.1	GPS_001989185.1
Cliv_1.0	scaffold95	NW_004973277.1	KB375392.1	GPS_001989186.1
Cliv_1.0	scaffold97	NW_004973278.1	KB375393.1	GPS_001989187.1
Cliv_1.0	scaffold96	NW_004973279.1	KB375394.1	GPS_001989188.1
Cliv_1.0	scaffold113	NW_004973280.1	KB375395.1	GPS_001989189.1
Cliv_1.0	scaffold112	NW_004973281.1	KB375396.1	GPS_001989190.1
Cliv_1.0	scaffold127	NW_004973282.1	KB375397.1	GPS_001989191.1
Cliv_1.0	scaffold115	NW_004973283.1	KB375398.1	GPS_001989192.1
Cliv_1.0	scaffold126	NW_004973284.1	KB375399.1	GPS_001989193.1
Cliv_1.0	scaffold111	NW_004973285.1	KB375400.1	GPS_001989194.1
Cliv_1.0	scaffold132	NW_004973286.1	KB375401.1	GPS_001989195.1
Cliv_1.0	scaffold130	NW_004973287.1	KB375402.1	GPS_001989196.1
Cliv_1.0	scaffold134	NW_004973288.1	KB375403.1	GPS_001989197.1
Cliv_1.0	scaffold120	NW_004973289.1	KB375404.1	GPS_001989198.1
Cliv_1.0	scaffold79	NW_004973290.1	KB375405.1	GPS_001989199.1
Cliv_1.0	scaffold136	NW_004973291.1	KB375406.1	GPS_001989200.1
Cliv_1.0	scaffold124	NW_004973292.1	KB375407.1	GPS_001989201.1
Cliv_1.0	scaffold139	NW_004973293.1	KB375408.1	GPS_001989202.1
Cliv_1.0	scaffold135	NW_004973294.1	KB375409.1	GPS_001989203.1
Cliv_1.0	scaffold141	NW_004973295.1	KB375410.1	GPS_001989204.1
Cliv_1.0	scaffold140	NW_004973296.1	KB375411.1	GPS_001989205.1
Cliv_1.0	scaffold109	NW_004973297.1	KB375412.1	GPS_001989206.1
Cliv_1.0	scaffold144	NW_004973298.1	KB375413.1	GPS_001989207.1
